buyer_id,median_gap_days,mean_gap_days,n_gaps,frequency_segment
1657506,16.0,16.0,1,monthly_like
1657765,103.0,186.33333333333334,3,rare
1658411,293.5,293.5,2,rare
1659315,13.0,13.0,1,high_freq
1659717,24.0,34.0,3,monthly_like
1660047,440.5,440.5,2,rare
1660979,49.0,49.0,2,low_freq
1661510,37.0,28.333333333333332,3,low_freq
1662126,25.0,25.0,1,monthly_like
1662941,20.0,20.0,2,monthly_like
1664838,76.0,76.0,2,rare
1664926,40.0,40.0,1,low_freq
1665569,21.0,98.66666666666667,3,monthly_like
1668188,95.0,95.0,1,rare
1668481,27.0,29.0,5,monthly_like
1668549,55.5,55.25,4,low_freq
1668747,106.0,106.0,2,rare
1669373,49.0,57.57142857142857,7,low_freq
1670250,10.5,38.44444444444444,18,high_freq
1670274,0.0,0.0,1,high_freq
1670575,3.0,12.222222222222221,9,high_freq
1670585,38.0,38.0,1,low_freq
1672026,18.0,21.5,10,monthly_like
1674117,457.5,457.5,2,rare
1675081,6.0,6.0,1,high_freq
1676214,88.5,88.5,2,rare
1676316,27.0,175.4,5,monthly_like
1676980,12.0,11.666666666666666,3,high_freq
1677081,0.0,3.6666666666666665,3,high_freq
1677415,315.0,315.0,1,rare
1677559,14.0,14.0,1,high_freq
1681023,7.5,8.833333333333334,6,high_freq
1684148,11.5,57.0,12,high_freq
1684614,7.0,16.823529411764707,17,high_freq
1684944,102.0,102.0,1,rare
1685578,87.0,87.0,1,rare
1685612,40.0,40.0,1,low_freq
1685855,70.0,70.0,1,rare
1688217,12.0,12.0,1,high_freq
1689041,113.0,113.0,2,rare
1691622,30.0,30.0,1,monthly_like
1693030,296.0,296.0,1,rare
1694486,21.0,62.470588235294116,17,monthly_like
1695992,18.0,32.0,5,monthly_like
1697017,22.0,25.38095238095238,21,monthly_like
1697836,6.5,151.66666666666666,6,high_freq
1697941,0.0,2.0,3,high_freq
1698169,8.0,24.7,10,high_freq
1698978,51.0,69.44444444444444,9,low_freq
1699320,11.0,24.428571428571427,7,high_freq
1699946,16.0,64.0,10,monthly_like
1699973,7.0,7.0,1,high_freq
1700246,518.0,518.0,2,rare
1700768,0.0,8.666666666666666,3,high_freq
1701796,24.0,24.0,1,monthly_like
1702318,7.0,122.125,8,high_freq
1703369,160.0,160.0,1,rare
1703735,21.0,34.25,4,monthly_like
1704380,0.0,17.666666666666668,3,high_freq
1704909,98.0,98.0,1,rare
1706673,12.0,12.866666666666667,15,high_freq
1706870,0.0,0.0,1,high_freq
1707368,11.5,25.5,4,high_freq
1708208,37.0,74.66666666666667,3,low_freq
1708760,8.5,11.0,4,high_freq
1708974,38.0,36.0,4,low_freq
1709216,26.0,33.833333333333336,6,monthly_like
1710823,107.5,107.75,4,rare
1710904,87.0,87.0,1,rare
1711059,10.0,50.75,20,high_freq
1714433,0.0,0.0,1,high_freq
1718037,22.0,22.0,2,monthly_like
1719301,11.0,13.74074074074074,27,high_freq
1720153,22.0,31.0,5,monthly_like
1720411,192.0,192.0,2,rare
1720840,12.5,21.625,8,high_freq
1721579,413.5,413.5,2,rare
1721967,6.0,6.214285714285714,28,high_freq
1723494,13.5,28.363636363636363,22,high_freq
1723892,15.0,15.0,1,monthly_like
1724263,8.5,15.0,12,high_freq
1724878,23.0,26.0,3,monthly_like
1724907,17.0,17.0,1,monthly_like
1724934,7.0,11.5,10,high_freq
1725246,298.5,298.5,2,rare
1726295,6.0,13.0,14,high_freq
1726340,12.0,12.0,1,high_freq
1726562,368.5,368.5,2,rare
1726684,9.0,44.57142857142857,21,high_freq
1726710,58.0,113.33333333333333,6,low_freq
1726715,10.0,11.666666666666666,3,high_freq
1726777,30.0,46.0,3,monthly_like
1727091,79.0,72.8,5,rare
1727277,14.0,19.857142857142858,7,high_freq
1727550,92.5,82.0,4,rare
1728949,4.0,9.2,15,high_freq
1729389,23.0,91.57142857142857,7,monthly_like
1729973,40.0,40.0,2,low_freq
1730352,997.0,997.0,1,rare
1731570,429.0,429.0,2,rare
1731599,16.0,16.0,1,monthly_like
1731720,0.0,0.0,1,high_freq
1731895,72.0,79.33333333333333,3,rare
1732247,0.0,6.8,5,high_freq
1732888,0.0,0.0,1,high_freq
1734626,7.0,7.0,2,high_freq
1734657,13.0,105.2,10,high_freq
1735490,8.0,13.75,12,high_freq
1735946,0.0,0.0,1,high_freq
1736387,112.0,112.0,1,rare
1737016,300.0,300.0,2,rare
1737720,0.0,13.333333333333334,3,high_freq
